arxiv_id,quantum_circuits_found
2504.16197,0
2410.01935,1
2503.10359,0
2409.06858,0
2509.25988,0
2502.17144,0
2505.11377,0
2506.09818,1
2411.16530,0
2509.04762,0
2412.15409,0
2508.08597,0
2408.07774,0
2406.15274,0
2507.16942,0
2409.04324,0
2501.05184,0
2401.14217,0
2403.03386,0
2402.06022,0
2410.12636,0
2410.16479,0
2411.01285,0
2507.17880,0
2411.12518,0
2504.12738,0
2403.13699,0
2409.20454,0
2506.22430,0
2510.08474,0
2405.00548,0
2504.13616,0
2503.21404,0
2510.07451,0
2403.14764,0
2401.17564,0
2506.15668,0
2501.04137,0
2406.09962,0
2405.05753,0
2505.14162,0
2505.06659,0
2502.00982,0
2405.11202,0
2407.03972,0
2506.15426,0
2408.13707,0
2401.04465,0
2505.10550,0
2503.08151,0
2510.09237,0
2510.07995,0
2401.14004,0
2402.05857,0
2407.03266,5
2504.19358,0
2410.17654,0
2509.22073,0
2507.02832,0
2409.10182,0
2409.06989,0
2507.00178,0
2403.01659,1
2506.08142,1
2505.10079,1
2410.12132,0
2405.18107,0
2501.07404,0
2509.20907,0
2412.20261,0
2507.07267,0
2412.10238,0
2504.08883,0
2412.01028,0
2408.11096,0
2510.12977,0
2408.00149,1
2503.11724,0
2402.03421,0
2411.07916,0
2503.20353,0
2408.03693,0
2408.11989,0
2508.12887,0
2412.18586,0
2408.03880,0
2502.09367,0
2508.18625,1
2409.10975,0
2505.05166,0
2504.13796,0
2509.07816,0
2406.01081,0
2402.14514,0
2507.13154,0
2401.00059,0
2411.01252,0
2502.15045,0
2408.00471,0
2405.01640,0
2402.13203,0
2406.13878,0
2506.16147,0
2410.23618,0
2508.17970,1
2411.12565,0
2411.04101,0
2507.01950,0
2411.04277,0
2410.04067,0
2503.18166,0
2406.15312,0
2502.06070,0
2412.02885,0
2410.10794,0
2506.19594,0
2212.14810,0
2408.10994,0
2504.20842,0
2501.02445,0
2507.08543,0
2402.03393,0
2506.05536,1
2407.19214,1
1909.02854,0
2503.02929,0
2407.13080,0
2505.00873,1
2402.08168,0
2502.07038,0
2501.12107,19
2405.20173,0
2502.16605,0
2405.00304,0
2509.24766,1
2403.05528,0
2410.23969,0
2411.13695,0
2407.02036,0
2404.03644,0
2501.11474,0
2407.19228,0
2510.01455,0
2408.12306,0
2509.10657,0
2507.14839,0
2405.09464,0
2503.20890,0
2508.20770,0
2508.17940,0
2401.12134,0
2503.09863,0
2404.18402,0
2410.22116,0
2509.17115,0
2505.11515,0
2407.07250,1
2503.11882,0
2406.18693,0
2507.12511,5
2503.12792,0
2502.20955,1
2406.19173,0
2403.12979,0
2402.05673,0
2406.03911,0
2410.15223,0
2505.20472,0
2408.11696,0
2505.04747,2
2409.04291,0
2506.17981,0
2508.15170,0
2401.08617,0
2501.05694,0
2510.06610,0
2508.17075,0
2502.08665,0
2408.16234,0
2405.14526,0
2408.13207,0
2501.18489,0
2404.05668,0
2406.03690,0
2404.07723,0
2405.03027,0
2411.04765,0
2404.13168,0
2510.23726,0
2410.04294,0
2510.16634,0
2502.20416,0
2510.07354,0
2410.21751,0
2509.22515,0
2509.20610,0
2503.16977,0
2503.08972,0
2506.03697,1
2407.17330,0
2406.10830,0
2503.07031,0
